4,10,1
158822287,1,3,0,1,0827-6:PP,351,844,072,265,301,553,not recommended,tn557ne,-5,6,2.5,2.5
470649426,1,4,0,1,9316-1:NS,803,938,820,009,340,317,not recommended,vb636oz,-5,6,2.5,2.5
633792065,1,5,0,1,0919-5:ZI,187,230,225,390,153,087,not recommended,je516yz,-5,6,2.5,2.5
031323090,1,6,0,1,1353-4:IF,709,811,588,146,976,845,not recommended,sh627ds,-5,6,2.5,2.5
681709272,1,7,0,1,9533-9:GJ,166,326,484,465,530,974,recommended,kk400me,-5,6,2.5,2.5
284111969,2,3,0,1,7307-2:JS,234,283,701,091,145,296,recommended,eg947fx,-5,6,2.5,2.5
066035414,2,4,0,1,5688-1:ZN,767,054,618,352,506,601,not recommended,qp446bm,-5,6,2.5,2.5
730072154,2,5,0,1,3725-2:BO,803,308,391,626,515,479,recommended,ae423ff,-5,6,2.5,2.5
629216616,2,6,0,1,8472-7:OJ,091,206,036,262,535,365,not recommended,ay257mm,-5,6,2.5,2.5
287225617,2,7,0,1,4153-8:KO,600,809,285,181,938,353,not recommended,ui741fk,-5,6,2.5,2.5
180672413,1,8,0,1,4897-4:LL,252,462,973,250,506,163,not recommended,ys766oo,-5,6,2.5,2.5
672971128,1,9,0,1,5294-0:TF,943,422,814,230,574,888,recommended,gw393xu,7,6,2.5,2.5
168572644,2,0,0,1,7804-0:XN,754,152,333,568,079,873,recommended,uo677pl,7,6,2.5,2.5
511351309,2,1,0,1,8019-4:RF,950,772,032,080,665,295,not recommended,el369nd,-5,6,2.5,2.5
718551534,2,2,0,1,2647-2:LM,644,357,540,874,868,453,recommended,rl259bf,-5,6,2.5,2.5
296733832,2,8,0,1,9618-0:WC,293,864,022,658,849,616,recommended,rj569we,7,6,2.5,2.5
439194709,2,9,0,1,2161-4:NV,757,196,838,835,580,780,not recommended,yf417uu,7,6,2.5,2.5
152402871,3,0,0,1,7797-3:MA,092,059,160,589,814,256,not recommended,dr700bo,7,6,2.5,2.5
156225809,3,1,0,1,9835-9:QX,747,001,168,698,630,162,not recommended,rq687aa,7,6,2.5,2.5
505192729,3,2,0,1,9060-5:JE,569,897,058,815,440,028,recommended,rk272ou,7,6,2.5,2.5
442543774,3,3,0,1,5237-4:CS,839,951,012,636,548,467,recommended,ug536yj,7,6,2.5,2.5
228402034,3,4,0,1,7815-9:SN,308,900,983,041,543,924,recommended,vi331er,7,6,2.5,2.5
919557367,3,5,0,1,2068-8:HR,258,527,441,080,777,292,recommended,jm618ri,7,6,2.5,2.5
552406184,3,6,0,1,6505-1:IY,025,135,232,908,854,775,recommended,fe150uu,7,6,2.5,2.5
658281717,3,7,0,1,7370-9:XE,917,898,496,918,438,170,not recommended,nv552ex,7,6,2.5,2.5
090143267,3,8,0,1,1249-6:JK,091,197,622,278,333,884,not recommended,ey122ce,7,6,2.5,2.5
876948217,3,9,0,2,5903-9:YS,649,045,293,331,626,813,not recommended,xf833fz,7,6,2.5,2.5
234653070,0,0,0,1,8365-5:HS,270,586,346,287,474,934,recommended,cm312ga,7,6,2.5,2.5
136934936,0,1,0,1,8447-8:LR,960,677,699,405,154,672,recommended,dn836my,7,6,2.5,2.5
880514601,0,2,0,1,1906-1:WC,878,837,418,154,331,397,recommended,ue030ps,7,6,2.5,2.5
049474808,0,3,0,1,5560-9:KQ,678,183,455,699,123,922,not recommended,pz660zk,7,6,2.5,2.5
891010184,0,4,0,1,5810-9:ZO,617,742,720,268,081,444,not recommended,yk434rz,7,6,2.5,2.5
771375773,0,5,0,1,6901-6:AA,105,670,299,648,337,807,not recommended,sm323aw,7,6,2.5,2.5
474495032,0,6,0,1,0119-6:RF,585,631,834,537,470,801,not recommended,dx863ot,7,6,2.5,2.5
359561845,0,7,0,1,5699-2:ZG,200,319,137,755,306,891,recommended,oc567lu,7,6,2.5,2.5
066425941,0,8,0,1,0380-9:SB,255,968,527,258,851,108,not recommended,wm524ms,7,6,2.5,2.5
349048994,0,9,0,2,2225-2:ND,963,051,391,304,259,786,not recommended,zk359hi,7,6,2.5,2.5
144559459,1,0,0,1,8643-5:LZ,062,540,106,153,820,248,recommended,yf507mw,7,6,2.5,2.5
662358955,1,1,0,1,0083-4:JP,217,961,506,837,425,704,recommended,ej821qr,-5,6,2.5,2.5
115256868,1,2,0,1,8052-5:CM,547,728,597,324,103,947,not recommended,ij409jf,-5,6,2.5,2.5
